spring,koin,manual
361228453,19608271,23287428
304663273,16894243,26282397
303803548,17825558,27310901
310385200,21465862,22879710
306055658,16368583,17613920
297580030,16654395,19821206
343968249,17678397,14089316
297513929,17241605,15002666
298946359,18325065,15636263
291096501,19251478,18426524
308120419,18005368,14524138
314473077,15644598,17750905
321025880,17360723,16912762
306895336,15543131,19676852
309500901,16730163,16557530
313267972,14640061,19350792
296235898,16412930,15289427
614277457,17771330,14206355
450749046,18601835,17119564
309110824,18290340,16705503
309392591,19664393,15220292
307850868,15861681,16792152
292048121,16398559,13738124
324779916,17916627,15797500
346200175,14495629,14483839
308437735,17242495,23003109
295923861,15520456,14673315
332467609,16114872,20503208
302415505,15432032,14502777
366306727,18917368,18136749
452542317,16367544,20821494
387396543,16494293,16656573
379284861,15368156,12640648
363005492,15306991,17248249
441676837,16503169,13633829
368004487,15438994,19462125
393588460,17190047,16041311
391056658,16381971,19763026
427008861,17715037,14478296
401709407,19425025,23261675
398086259,15959097,15674675
415786070,21547428,19146197
461463683,16224404,15863225
572243415,19216771,17458757
469078532,15768184,17524578
411652319,21090518,16936515
513708888,17317693,18245758
500884811,19553983,16217423
431927954,17890424,17589172
395153326,18015630,17455847
441753378,16113019,17093180
423659606,18488122,17477254
572115975,18812634,16000525
583548657,15918204,17131083
405242495,15951481,20227835
367362800,16179344,16647290
377665078,17520017,16176420
381249842,17540283,18216831
432205271,16138945,18582065
398386802,14718749,16884620
367395639,18743799,19262319
380584139,25142775,18502521
356370753,17888113,19182019
370210043,18284190,17167025
375266049,14289724,18824098
441642148,18157824,18029826
391884581,15065071,17562599
379779405,20828125,22416131
373629755,15139946,16727672
381575140,20212171,18149576
375721118,18076603,17396589
382853497,19724540,18987658
404000611,17576577,18452102
393183606,15036086,18422721
380273211,18071445,19016836
452086311,15522060,17181819
429719207,15826826,15956228
434878882,18663229,18071802
428126178,16527101,19671541
368210324,15239243,16181231
369850423,16924719,19234511
388157906,18504609,28795071
371275091,15536893,17806560
368285152,17475539,21518163
376334398,17520348,20143069
492237552,15264643,20026949
434278408,18250099,17672154
427765805,19078562,16850762
406848632,21711890,27519549
406666654,18379475,19549110
374460788,14772229,21647822
398691811,19203992,16366689
411011426,16919357,17090735
372107162,17058109,27677988
414425040,15176620,15847323
378324501,14686505,18097452
399909225,20208855,16099064
385833712,14163241,22829791
412467830,18319759,17930607
409796188,17796006,18454080
389982581,20690278,36917880
396190385,16325407,19900394
394491323,14859765,28030495
455047643,15846506,19812358
455318602,19175257,18034064
512461786,16554866,22750711
485272365,14827686,22245324
410601532,17935359,20415333
401717584,15557743,17487147
417008489,28979510,15858746
481498035,15030100,16898362
464532968,18304901,17220348
390036625,15340994,19121654
407930943,21064004,19174936
423696549,15775947,21756754
502725118,18150628,17232347
440106321,16636800,18957311
416623272,16619497,21240532
382741253,15109156,17805274
427554740,17349093,17594845
388603253,21123586,17907454
425145789,17122955,17987802
435471549,30803925,15906929
446144750,30667841,18906634
367137157,28183704,16182339
415036004,21046445,18087960
401595641,20159549,24050595
431000232,18325056,17760422
390951635,17810309,28595830
493872174,19752831,27673169
434798332,18944464,26137178
400663624,18541626,20045116
391299407,18654453,18797449
377456198,20481067,24180288
442555187,18698442,18874884
433259974,17944710,18678453
403311163,17419929,16309936
380933958,25665790,15681386
395060941,27113422,20675346
416611746,22444232,18202651
379866072,19468091,17844210
478042697,18948379,16482331
457673095,22244191,21691312
444510334,21878459,19374950
437144618,21899459,21115377
438605890,28660955,17917224
415932688,22973046,15815539
406186545,18528164,19103405
481715077,27239442,16701734
450704641,22091916,18446881
392642189,19787758,18118243
393247618,26721720,15648470
385827385,30962214,18841760
354341166,29113448,16166498
388851334,21592188,17406546
690597458,25738201,18395843
954896046,18447190,15577628
548901053,18203771,18140833
405643013,21283696,24724716
444681951,19036862,18295474
400437664,17405758,33783230
378066779,21978486,16307128
379489012,21026429,15102270
454578340,31036220,21323396
424459597,19180752,17084729
492901470,19767629,16024833
429857435,22353749,17659124
454118465,19034715,32394569
505815190,19001224,16017464
433366914,34981111,19920434
415943580,19917764,19544142
465066293,23847632,15052797
461561499,22028562,18535836
436520540,19707967,18369652
385576799,32779330,21658275
441197829,20516820,16742887
563341042,19338622,18764586
494213330,21083415,20113211
411770202,21228389,18112434
439859982,21840132,25519763
410294296,19191426,30302447
402378345,22869850,16774219
391873334,21944290,20081115
471102392,19420358,23853791
406940861,17945607,16993130
414867342,18257821,18740847
407662420,18112797,16274708
400556390,29433392,18047834
374739516,22535208,22785611
483639741,19560574,15525525
412323871,20965658,18121140
376106895,17509351,16271904
376058772,21914384,22929749
452012270,31002480,17455636
460093618,19053579,20410254
494251772,18412086,18595627
504189532,19396009,18209063
406666568,19581461,19375099
415438352,19154704,21853165
443560692,39955429,17181191
444852595,24460499,20580789
503206228,31499776,17805249
418331640,23909546,18880250
378313276,24018945,18866153
411960458,31087241,16819903
370241951,26029588,22156331
411419632,26586687,16700485
389681438,27178448,19195254
453136247,21968743,17836932
391972770,29594135,17181176
368446395,22781956,18227925
420672608,21482350,25460265
443596803,20679195,18534033
537160534,20993222,15852925
491154077,25702526,16075367
458394599,17723193,17954685
457606324,21199628,15540765
453690338,28765163,29473660
380652253,23070652,16911619
372851938,21832621,15835574
420993818,21990024,17995080
390580640,19449766,15623645
401944444,20233772,18943650
394881509,25305860,16401757
428388026,24148347,21044283
469220670,19253586,26155194
563437062,25884141,20992273
489682256,18125669,20034905
427712751,18334782,16802402
403618108,19520187,19179614
406417294,21736593,40481355
483249898,18002536,20948474
477415710,22481471,18638111
409086706,17804860,20999905
465870423,17691682,18160648
455261607,17189355,17209701
380071193,26467558,26729723
411176964,38407466,21405125
359518726,27256829,16349153
396283241,30208964,15936352
432512237,36533603,29932198
500291638,20869050,19852021
436908969,22887946,17473544
450916351,25092933,22433777
433605536,27926206,25038889
449351455,36835516,21843705
382135344,25146993,17806605
442029800,34180707,17497683
422450599,23159925,19932007
424562957,23730169,25923181
418047912,21801852,28608881
436707975,24465715,27297237
387003652,23113672,21709279
387860188,33764509,21705759
426623994,37242743,30084782
406883297,19541770,34364969
406405035,17633913,22589440
444490191,22237728,26265987
452873588,33771401,28284126
797443373,24888884,33116285
1131419155,23237473,33188589
662758708,23307964,31821955
563305641,21583036,23930506
512535693,21605456,24835347
679963193,27325010,23528658
614661927,20149030,19957419
523353927,24896366,34118676
485657815,37291815,34509120
915104819,25035741,22399504
714343480,19479014,24163185
536449485,23680271,26446381
431883134,31121173,20094046
437516914,26789984,31063123
399990523,22930674,19585879
412606284,24456355,19481081
369368816,21051798,22732451
432381001,20492160,25508086
421116720,21387258,21342103
425181714,21851719,29398249
375688332,22771843,20656421
464314257,24795722,25615780
440143014,19430800,23791259
449195989,32015552,19406366
395204343,21727832,36847672
404255682,24393738,23883301
368588694,27732225,20878418
394788408,20127369,23680866
394972961,32467919,21159670
376869292,51027840,24360370
419879112,50677571,19156665
389069180,22388644,21661606
456790107,22853336,26343519
383317475,23023517,30070593
385151536,19014833,25511689
383066752,21702141,28249519
408260882,23484120,25245838
381704477,35880486,27314493
363696798,24878377,19397070
361406410,27199781,20162021
462623913,20844807,18502919
503940311,23371267,20237486
381484797,24166011,22199761
452265215,19589417,19811746
383830774,24696474,19730532
395100792,22559417,19833409
344220700,30940634,19729417
390069111,23409725,26276134
355801532,22736391,25470308
392995576,24696635,44743764
380043545,18880696,29806997
357441445,20638847,31979299
353699405,17923548,30590975
407250432,31356696,26220989
398278772,21183193,24299642
433316694,31444973,28699173
506985953,25008044,22476666
543366392,41541641,22983476
492141949,23017513,27126738
579850010,19572589,24456441
421578224,33586804,23638613
468382585,24565743,21782497
377833544,20101371,25554177
377438544,19580147,22115138
379430370,21929511,22168845
363478295,19048076,26306459
365689940,29386428,20629281
370274197,19794933,20777053
377161511,20761728,32566653
368394039,19578414,21972102
361981902,21737350,22428197
388974967,19825242,18419917
386367654,26139176,17149675
383074569,19426705,21666620
388900338,19386278,20273793
440596865,25668149,21423834
402923497,18297358,18056544
385380408,20175292,16929167
369484202,20334513,20623796
439380913,26257375,26425465
411521846,25382835,21325246
399942589,22795214,21013411
418924264,27858847,20506225
384477134,19744588,22446937
389576077,18868814,20032583
371908132,18775090,17725277
415173054,26781003,16225862
464944462,18105880,18543983
456529093,20127728,18077248
409064477,18931806,15157152
474897129,28734170,27033467
533428718,19471406,20009927
417424270,28246107,19618005
458709714,21479766,20961161
539464846,48946804,21261845
460238097,22865975,22360325
459652297,24712807,16309506
512790671,21549351,18442410
472275697,35928946,18784804
456543602,26440404,16459884
391446216,21901462,19093766
409597077,23065306,18235656
376177863,29747479,15939181
353488571,23942089,19620585
478504227,27376747,18265397
424209805,22835686,15961974
418453144,18289468,21997120
370399275,31433528,16394696
398224905,21412530,18219780
421262348,18824669,16421563
624509939,18818825,19321518
557599118,22689739,15447250
460545058,26231426,19965695
378666646,21731827,18429257
467712333,23621791,17390408
443937381,24352248,24610590
397675648,21866546,17137186
468437951,19318566,15417522
489480914,22653689,20745091
413293275,20130589,18548384
464752367,34709036,19724330
477248100,20044376,15748111
427909545,21722792,17693370
435229807,18692381,16713688
460017592,18942190,18129424
439307176,20788725,22062269
449663957,19488095,17226276
440141319,29281556,20700888
429204008,24239771,19282297
518119938,23560329,17644181
456669210,31052770,16646521
404229781,20916586,23330686
424010710,19085218,26612115
389618950,21125301,20836981
424222367,18675274,23264404
478693926,16811355,15867729
484425418,19859410,18770456
531826500,21690422,28616110
588641518,19058149,19158600
455142321,18442109,17271964
411799218,25623806,19319788
489660949,28531112,17483161
518355756,27370343,18947954
407247033,30948417,22548354
441727225,36162293,22121955
392092886,30043180,16354361
475595115,22429307,20527725
452131143,25938417,18433679
387379720,23278969,15961153
453559033,20836547,18426132
441397499,23769600,17553353
484781890,23548901,17954178
429191673,23892422,16552971
445070944,24224472,21859965
446166349,28920002,16599607
542350118,27209921,15746503
422250523,32606079,29019032
402523735,21754042,24868738
373959786,28314365,20894034
428076029,21883513,20642356
431164878,22477920,21869542
389157865,26160615,19440113
449886884,31847388,18990489
372360203,58493623,26859853
411789674,34877609,20361760
429805929,59268162,18055180
413730688,32926555,16935287
443610525,33362805,18271848
458995380,62206472,18452142
446440415,62895310,19191045
406815477,32587815,30940583
405350971,30649871,26231403
432213163,30892429,22992109
404421805,50401612,18758840
392614128,61570375,23140966
385170949,51268812,17414250
453972668,34541837,23059564
418562747,25372184,21777673
410104505,28118766,20620773
381354926,31453855,18576877
434769648,49005242,19841205
371129347,45828244,16763044
382924377,28729507,19681079
361621970,57464474,34796594
398659848,30013609,17958307
365365067,41683112,19366955
372558894,25596870,17126225
386100511,26573636,18735259
362835585,40450849,23280649
394479045,38324613,21009064
365529626,39657840,18150548
404706808,29972799,16415909
359830266,30231468,22447325
358340243,48986530,18239434
377593292,60587141,15939442
369057239,52745428,20471225
365556641,37205713,15399277
393717470,43247209,15854108
381391125,27796876,22355978
383928275,38232148,18197063
376306681,24546885,15794991
367459246,28197026,16012872
357758459,21118811,17414079
389815268,20803732,20752896
361547152,22885392,19647442
409905300,29508582,16688111
365854075,25693349,19073731
356127836,22709753,15971438
370345481,24705268,22224684
370368888,20820823,19459155
408352830,50067742,16120471
371355890,24397119,16883685
425340183,20924945,18067323
472473426,19794140,22353590
421110667,20605037,15479140
388372023,28646406,18643967
403078415,22999687,15123571
395574549,18844627,17316981
500015654,24429910,23768760
457594826,26136438,20090020
465845166,29813809,16762140
390343076,18941493,16592450
392409330,24465773,18596079
381909795,31111088,25666334
373342580,27023048,24449735
401377087,24888430,20228386
353898501,26410498,16311555
367361378,23193539,18706317
364372339,21455885,17953484
351971026,35919226,15902634
409084888,27225500,18355221
394971680,21593603,30476346
418419624,27767910,18287203
356315717,22664566,17067426
381960660,25358186,20410988
375456071,20218912,18790655
377137480,19752792,19287280
373700370,21525576,21491101
360814033,19467750,29737177
457843697,25117283,30217027
368078244,25980939,21681705
381601155,22837520,25259656
362265632,25706086,18668872
377055937,20972469,19306462
362682379,24965133,22122522
413205700,23235015,18766141
384576303,18288713,22887169
396857739,24270011,16882950
370096884,20348812,19164534
397980824,22421648,19250921
356936234,19678216,16755735
414130165,20986985,26314413
419541301,21763679,29724217
359549498,19893415,17338082
360964086,20187423,22256900
415846782,19333041,28268131
384903940,18259644,22122483
365342195,27271675,16426632
482194603,21153055,15545808
473904762,24296443,19488266
398432608,20606092,16347801
385899574,20328304,18333538
423620276,18568514,15673671
552706178,19347219,18673722
454485698,19576579,15759189
438309387,24855398,16647440
435025495,20533542,18357403
407074734,18595581,26181695
461522829,18989801,17902434
377222376,22389569,17449462
398451557,19329418,15938885
460369782,21575437,18127349
394176963,22447078,16043293
387392971,22345639,17846031
428112908,19964821,25935346
394239633,20337920,17205915
423185404,21924831,19749501
420154251,21987674,16633442
422489073,26365432,18834373
399830958,19869786,17757295
392603583,22605791,19094997
392775471,28326944,20988680
442247586,24856677,17708310
408870835,34796023,20397374
479768767,19727405,19188529
432052805,28669448,16154360
475324766,20880174,24557171
403183995,21329846,16304456
393838488,22343617,23448723
360949106,18104603,18762032
443010834,37130559,16574634
464780639,21128978,17561862
389990965,20098278,15536401
403783428,19378827,23629439
376750546,26838179,23868566
425268726,40566408,16253581
406369823,23026725,15575715
380333677,21353453,15367996
390039574,19292661,23876688
419496769,18174583,18767650
378224962,21401567,15965093
368057536,21160221,19171926
397839916,28666604,16557565
439798551,22043455,20344228
413191949,23632189,17179644
381637065,22992385,16933623
399303363,41743121,16930749
382266070,19498093,22685823
363457348,20448586,17733347
433927226,23375607,25857622
481234692,20779562,17687050
401401391,25027010,17517425
418388211,26886315,18420535
439254705,26818301,16900760
432908589,22284061,24714337
370494385,22340357,18085342
426654130,22451399,16341445
422356170,24315941,17601056
396839415,19259601,16375976
386028820,22851921,21358109
398076396,19423696,17758362
412923724,23007308,25299984
428066431,21614608,20995324
456853629,22892513,17937201
430364602,40106479,22294994
401823493,21397730,19392239
378591927,22805795,15348223
452921380,28981769,18553932
438130160,20162772,28285447
379043489,23659835,19815499
379623872,21302183,19273833
381077187,23009001,17554178
403812388,31339739,19394223
436898220,33142378,19134626
415157281,40738345,19578475
477988479,40252096,21776967
480937663,31506590,17586352
474443499,23898904,19756333
451619774,22538134,18533454
402508449,33814154,16419509
572189759,25442033,23418390
650406453,21059484,18853570
496512062,31603450,18933663
402924779,26402755,22151315
507805772,18997314,16094210
764983129,23363377,17414265
689849571,32015130,18510136
456306766,40101128,17727232
486092658,34513308,17308105
512271028,22882724,15225560
417929919,27803990,18899547
434345479,37588933,19344839
419161859,43829363,16356801
404600625,43408066,20451516
426750091,39368937,15784986
499191810,49001880,17031214
561290640,59271721,21371610
518867323,30104083,16491594
429152777,28104246,19804547
377801172,36489557,16462830
452685075,29356284,21406798
389382268,25243027,15615060
421571750,27301221,18901354
424065977,21776803,19104041
408896232,32914092,19964904
416266048,21454420,26719259
394494330,23485347,22624019
451204533,23011928,18845261
403471247,21593291,16973835
418904871,35417687,24541678
393664528,24168310,19297920
378491319,31888563,16506387
462693264,21793581,18651677
388728324,24826411,22227066
381499118,20925674,18408967
393877825,26313261,16811628
451516102,19306030,20433309
391392329,22958901,23815381
406424620,20010907,17864283
401597824,21373435,17308768
417687155,30195886,20170117
429117042,21703277,21617333
470517873,22167348,23883981
394101185,22318795,20750568
380766332,20294755,16076981
373545407,20678799,16482780
390450010,19201466,17713472
393771847,24509848,15447566
373717549,20494169,23908419
477696822,37226494,18393004
500251080,23078194,18564432
524657457,25299544,26959232
622700801,20455876,18589179
419978066,22397083,18164904
483756397,19752078,17896534
384220416,25067879,21078667
415124538,20926934,20639623
462804015,25201920,20847094
420478954,20858039,18320393
413178802,25756564,18535384
513553155,22254780,22878885
437353413,26076188,32055198
422204590,19106929,19865979
443406661,22694514,18737353
406502998,19187246,23210461
443780107,25604671,18665115
463450616,28499819,16363187
410057968,27671709,23676990
397794081,50546057,25144368
481805978,27075644,18313305
476891273,34334845,16448942
463286133,28117662,18689777
440888390,24191518,15888344
429075428,23856661,19262172
407831618,20877091,27478423
473405415,34894082,19916993
405732062,22833680,18073432
381373208,20611523,17018150
393998583,30509888,18472151
402274039,27216874,17661243
416572607,21406215,15671296
386223715,21251451,28077734
407626261,23903851,16943705
398547653,22634743,22077104
420928501,22235454,18245981
457370907,23930183,17913497
373343522,27419141,19481950
415116265,25643562,21245043
382543944,27644176,26841801
398970710,25954996,27121542
409251622,25473362,21402380
386558173,20382125,18940662
386242969,21775239,16361686
427620994,31346384,18314525
381268085,35578208,16142596
383554544,22406388,21097010
450806534,21397591,17799155
453640057,27821154,18072779
449914599,24463643,19902765
384795487,22475751,16032960
418588656,24333162,18395537
428762194,23933583,16033587
440936401,21513597,31891192
377777022,27761193,18746600
507870731,21867033,16394264
403524353,22604788,18631193
415667747,39528859,15942347
387190185,25692552,17689589
381933302,25083523,20151603
372866508,23774299,15976162
394362557,28357623,16671195
416596690,25608980,16372543
382425467,23344536,29985291
390710799,26730918,21550213
354669366,38272856,16870226
361676222,41232529,19540496
362536583,32469011,26132642
414067140,32811477,24045202
384977958,23796569,22782180
393435268,33218932,16784193
373143910,34688721,19275261
395044400,22693330,22366157
392298620,29700222,28454678
391428855,19262083,19148110
421740443,29931824,15401892
407619173,24550987,20096833
397850089,22323400,24692917
402268339,23361829,16032299
467289054,21492311,19098787
454992519,37165537,16801606
532730358,20419286,16560848
398957003,20515239,19186243
409058580,22562629,22295658
402599855,21237547,16913359
372548661,19030035,18427202
397334429,20233892,22805955
371543689,21756239,22567665
390428976,28299140,19712736
371343060,21319346,20521381
360037644,21402951,19066335
402535500,21694926,19711699
375777963,21962731,21548286
423420124,20953900,21346080
407339949,20000902,20086230
406895001,22599796,17154625
364547357,34440927,20510720
377425883,30746537,18171394
383394354,27134042,28540354
377353287,22706257,48193979
379801983,21365580,25170236
435094557,21773964,23636491
393855126,21630179,21406587
391916712,29922241,18109940
396396363,17909344,19175871
396457240,16833297,28995104
396011613,21770275,19366177
372274042,19351583,21445730
454953260,20940975,19711838
376321175,21211546,30105479
414162519,21985864,19122743
442373348,31471925,16891323
398800383,21146299,18151108
396086392,20618645,19478899
400236655,18685497,20912920
426573897,19116808,15919221
416761152,17844385,18462925
402734851,21129941,15388285
441498563,24086681,34014978
424024415,24156267,17515654
388524263,19821885,18604357
532636832,19462227,15850795
429165282,22278434,16372609
459224474,22896072,18037290
423802577,21828149,20982352
502385169,20151295,31371146
426444447,19162058,15390841
417662748,23010562,17807881
435761394,20564311,16679231
419752907,19666697,16787624
447038863,21160016,17575828
437539770,24032215,20873422
415213575,22554308,21146851
397622605,26925246,21133425
430272697,37588374,17520779
435416603,40719817,20134026
400323388,22315129,28276090
407915616,33787619,19015032
402080176,23980937,16659850
437162262,39760773,16972553
417529071,32856762,19639224
424409393,26721243,15521092
392107887,32874259,21222862
419320626,23997599,18555499
411612434,33492305,16552524
442878394,35656951,22266901
407998993,23821676,15852246
392648623,23031296,19433842
467202461,23677941,21062480
465409196,22198773,17049393
403868034,25364027,15194633
392338514,34789960,22107438
388214969,26795792,22520003
396948359,24381118,19653696
366243087,26302459,18885422
369361969,20531213,18842365
393015549,25822651,16484237
404496636,19094725,16030750
408662904,23587442,15575784
401181245,19272764,15662681
424810585,33867362,18218430
433179996,32653396,16383950
394459662,26817344,20639383
389953537,25721132,19066561
463365933,26986457,16799787
409472336,27799908,17931359
393289955,23390990,18523470
423620291,28631861,23204242
387327168,21847239,16083104
406619437,22850533,15645510
374242663,23006970,18346707
495510018,28550771,16467149
399287122,21085071,22031620
383572815,25886435,19497824
403096916,24615772,18884224
520627329,21462124,15649241
556060183,26959237,22225698
463321393,34404203,18555343
446075266,21181115,20782199
448805119,20826316,19749199
395607675,21155082,20869329
418454854,21238395,22094332
429051138,23283427,19303981
452870399,32674461,17067119
427293963,24683523,23306443
394747196,34431897,15927566
414171823,20995036,19264535
462492012,19033881,20298551
384669642,20921071,17405223
442683606,24623957,19400658
372759363,58489162,18236320
386208508,95402640,19276212
400804817,79849928,15953659
401478370,44041665,30050562
383443544,30294028,24458663
407456399,26374986,19807313
424952043,45196464,17587666
411576638,25500911,19583004
374588962,20997180,19005343
401399942,38306905,17383069
426183153,28378574,19507840
446136165,40447131,23559960
506459347,24076939,24181476
457025002,22496973,22504082
422602497,39221785,20112323
420412851,26862760,25112948
728394172,28738590,22250121
554874534,27196821,21773552
507484982,21490408,21611106
485632500,31367359,33285597
444189534,31068533,38826188
420822808,26951992,52496819
440048472,20604993,37360910
398425199,25068048,28311605
400707014,28637946,45666675
407280240,26829317,46865122
443150860,37328737,33473163
441362190,23132079,46536964
401601194,22446078,36448322
452379651,37065507,31449755
395148035,28051294,24828076
395577344,24006222,23307494
386188779,22631317,25974699
362842605,29234380,21768054
370871034,29763201,20144470
408558648,24408700,19537403
378829085,21928728,21409475
398730051,23044721,22973147
380507087,23906243,17330020
400796839,22440389,18787186
460164572,19486404,17847507
476584503,20786404,17450668
411524162,21002989,20027169
468112882,21556540,18814774
447141267,20407716,16580876
406165182,22242318,30406308
447347105,24289752,27171218
481733630,24549343,16464749
443921626,20039845,18985144
397527545,28325176,16327378
377742709,25820092,22880286
388681709,20893304,22521673
382394919,31512245,18503846
419538870,21434019,15306760
359783173,23893383,18559627
465534588,23847287,16251695
473759064,23237586,17393578
367114293,21517881,23142597
386469780,21144889,14790923
391088411,24332913,16563959
384348839,26169498,18569461
427167486,38102165,15471036
391383581,24624216,18071154
485226910,33612376,15422812
432575152,28825140,16966588
502593107,33981786,19850874
429379433,32862305,16955757
387113226,33210459,18377685
392804970,28512249,16018408
408034725,25400189,22450917
420869142,25262799,18092877
426439047,28327798,17552064
409209055,20503771,16038940
404498242,19634828,21778303
438924479,19254919,15682727
404639454,18215137,17962416
398111124,20425297,21672543
428042989,21116346,17331787
413666308,19741317,20009123
406130663,20432528,20163787
505493093,18124578,18023022
425719117,18656338,22017672
481777174,29305052,18412494
404491111,24234439,16152020
433231385,37062334,19086543
423448402,25501765,17121270
440844801,21787627,16593456
394608440,20236425,20149526
409970425,24483066,16815686
424431223,32330132,26555054
524628813,27576035,18964827
702968778,22838006,16643383
466989931,24368795,18387547
389749490,27258995,19447866
392818585,30581927,22014673
401234367,24064572,19160334
392345210,23530650,18766489
398540227,26573849,15728924
477717892,27578138,15591258
407661860,24359667,20437383
470212780,27642462,18207653
395019359,24737377,16092442
439099325,20498680,16732277
402993301,23252446,17713372
428437700,18107245,19896455
441172878,18991407,17726512
415369743,23938126,15351391
392071082,22810613,17666624
390676632,23883440,16425158
452239474,22775194,27744306
421490001,30507648,16197462
433668577,20381464,17655886
424774130,19758038,15262464
402822690,19528270,21489938
364698130,21157890,25835491
396117239,22702427,15989528
389997014,21173404,17264493
425226960,42650385,16110695
394914241,25199908,18481271
371447301,32099984,16995910
376524371,23697346,19003017
351641646,22902526,17845846
392804708,23961544,22530128
358816137,18884442,19001240
390339538,23160134,18660801
401836247,23022339,16104778
426448712,21814905,20975056
403299471,23790468,18329702
390413562,20507026,19724167
439900478,29674351,25312490
418932512,39742360,20511685
419705783,49239886,16684716
430461428,69655722,17160109
412316110,78326506,16883917
392104092,88844885,24315302
408022371,141052535,18845774
468288473,89325755,18873457
489890184,72229005,15674490
408588924,45402673,18603632
396777659,79584505,16137885
442037331,67826623,21338750
429892224,73749783,20194078
626998125,40906132,15508075
649793207,48822734,27713399
414139366,59868152,23970896
422471505,49561731,16269198
477681004,38213841,22313438
399060787,31695015,15600758
445823951,31989505,17151543
425873576,32759152,28249156
412412370,32724551,16335265
388474275,28371731,17378214
416316770,27652960,17360874
423084429,48418336,16108356
399123973,30795370,18357409
414235708,43246316,15296617
400019514,40190823,20497928
425536653,44516964,18600719
403871401,51823827,17476263
372999434,54158384,16411737
403928366,61717938,21896880
415990795,52636676,16319208
